SEQN,Gender,Age,Ethnicity,US born,Education,Marital Status,HouseholdSize,AgeUnder6,Age6to18,AgeOver60,HouseholdIncome,IncomePovertyRatio
97673,Male,0,White,1,3.0,,4,2,0,0,162.0,5.0
97680,Male,0,Mexican-American,1,3.0,,3,1,0,0,63.0,
97733,Female,0,Mexican-American,1,,,7,1,2,0,5.0,0.01
97749,Male,0,Others,1,,,6,2,2,0,35.0,0.83
97757,Male,0,Other Hispanic,1,,,6,2,2,0,25.0,0.68
97780,Female,0,Black,1,4.0,,4,2,0,0,13.0,
97789,Female,0,White,1,4.0,,4,1,1,0,81.0,3.59
97815,Male,0,White,1,,,5,2,2,0,20.0,0.51
97818,Female,0,Mexican-American,1,,,7,3,1,1,,
97837,Male,0,White,1,4.0,,3,1,0,0,87.0,4.7
97854,Male,0,Mexican-American,1,4.0,,5,1,2,0,35.0,0.87
97857,Male,0,White,1,4.0,,3,1,0,0,75.0,3.28
97880,Male,0,Black,1,,,6,1,2,1,65.0,1.82
97885,Male,0,Others,1,5.0,,5,2,0,0,,
97888,Male,0,White,1,3.0,,4,2,0,0,75.0,2.79
97907,Male,0,White,1,3.0,,5,3,0,0,92.0,2.85
97917,Female,0,White,1,4.0,,6,2,2,0,55.0,0.0
97920,Female,0,White,1,1.0,,2,1,0,0,55.0,2.73
97957,Male,0,White,1,5.0,,3,1,0,0,55.0,2.26
97962,Male,0,Others,1,,,3,1,0,0,233.0,5.0
97994,Male,0,Others,1,,,5,1,2,0,75.0,2.36
98017,Female,0,White,1,,,3,1,0,0,663.0,5.0
98020,Male,0,Others,1,2.0,,7,3,3,0,698.0,3.21
98055,Female,0,Mexican-American,1,1.0,,3,1,0,0,45.0,2.02
98059,Female,0,White,1,,,5,2,1,0,65.0,2.14
98136,Female,0,Others,1,2.0,,3,1,0,0,87.0,
98159,Male,0,Mexican-American,1,3.0,,3,1,0,0,20.0,0.73
98171,Female,0,White,1,,,5,2,1,0,97.0,3.02
98179,Male,0,Other Hispanic,1,,,3,1,0,1,76.0,2.52
98192,Male,0,Black,1,2.0,,3,2,0,0,20.0,0.78
98193,Female,0,White,1,3.0,,5,2,1,0,75.0,2.21
98237,Male,0,White,1,3.0,,3,1,0,0,45.0,1.96
98239,Female,0,Others,1,5.0,,3,1,0,0,975.0,5.0
98240,Male,0,White,1,5.0,,4,3,0,0,35.0,1.22
98329,Female,0,Mexican-American,1,,,5,2,0,1,55.0,1.7
98466,Male,0,Black,1,4.0,,5,2,1,0,45.0,1.26
98487,Female,0,Mexican-American,1,5.0,,6,1,1,0,65.0,1.82
98492,Female,0,Mexican-American,1,4.0,,4,2,0,0,83.0,3.19
98543,Female,0,Mexican-American,1,3.0,,3,1,0,0,75.0,3.37
98570,Male,0,White,1,5.0,,3,2,0,0,20.0,0.72
98572,Female,0,White,1,,,5,1,0,0,10.0,0.33
98625,Male,0,Black,1,3.0,,5,2,1,0,20.0,0.59
98658,Male,0,Other Hispanic,1,,,4,2,0,0,20.0,0.69
98754,Male,0,Others,1,5.0,,5,1,0,1,20.0,0.57
98760,Female,0,White,1,,,5,2,1,0,65.0,1.87
98771,Male,0,Asian,1,,,3,1,0,0,92.0,4.6
98779,Female,0,Other Hispanic,2,3.0,,5,3,0,0,5.0,0.16
98785,Male,0,White,1,4.0,,3,1,0,0,35.0,1.35
98831,Male,0,Other Hispanic,1,,,4,1,1,0,20.0,0.62
98841,Female,0,Black,1,3.0,,6,1,2,0,35.0,0.91
98888,Female,0,White,1,2.0,,4,2,0,0,35.0,1.2
98897,Male,0,Black,1,,,4,1,2,0,45.0,
98956,Male,0,White,1,5.0,,6,3,1,0,98.0,0.0
99010,Male,0,Others,1,1.0,,4,2,0,0,5.0,
99054,Female,0,Mexican-American,1,2.0,,5,3,1,0,35.0,1.64
99118,Female,0,Other Hispanic,1,5.0,,5,3,0,0,75.0,2.41
99132,Female,0,White,1,,,4,2,0,0,90.0,3.25
99161,Female,0,White,1,,,4,2,0,0,5.0,0.15
99162,Male,0,Black,1,1.0,,6,2,2,0,35.0,0.74
99177,Female,0,Other Hispanic,1,,,3,1,0,0,45.0,2.15
99185,Male,0,Other Hispanic,1,4.0,,7,2,1,0,5.0,0.05
99206,Male,0,White,1,,,4,2,0,0,75.0,2.79
99214,Male,0,White,1,4.0,,4,1,1,0,589.0,5.0
99268,Male,0,Others,1,3.0,,3,2,0,0,10.0,0.29
99326,Male,0,Other Hispanic,1,5.0,,4,1,1,0,86.0,
99336,Male,0,White,1,5.0,,3,1,0,0,75.0,3.43
99357,Male,0,White,1,5.0,,4,2,0,0,35.0,1.02
99482,Male,0,Black,1,,,6,1,0,2,139.0,3.03
99508,Male,0,Others,1,2.0,,5,2,0,1,,
99529,Male,0,Mexican-American,1,3.0,,3,1,0,0,35.0,1.39
99566,Female,0,Others,1,5.0,,4,1,1,0,176.0,5.0
99693,Female,0,Mexican-American,1,,,4,1,1,0,65.0,2.39
99748,Female,0,White,1,4.0,,4,2,0,0,35.0,1.1
99750,Female,0,Mexican-American,1,3.0,,3,1,0,0,5.0,0.0
99755,Male,0,White,1,,,7,3,0,0,250.0,2.76
99787,Female,0,Other Hispanic,1,4.0,,3,1,0,0,65.0,2.69
99789,Male,0,White,1,3.0,,4,2,0,0,35.0,1.22
99805,Male,0,White,1,4.0,,4,1,1,0,80.0,3.66
99936,Male,0,White,1,3.0,,4,2,0,0,20.0,0.61
99946,Male,0,Black,1,,,4,2,0,0,55.0,1.99
99963,Male,0,Mexican-American,1,4.0,,5,2,1,0,35.0,1.14
100005,Male,0,Black,1,,,4,2,0,0,10.0,0.28
100027,Female,0,Black,1,4.0,,4,2,0,0,15.0,0.4
100034,Female,0,Black,1,4.0,,5,2,2,0,15.0,0.35
100084,Female,0,Mexican-American,1,5.0,,6,2,1,0,45.0,1.11
100198,Male,0,White,1,,,5,3,0,0,20.0,0.61
100267,Female,0,Other Hispanic,1,2.0,,6,1,1,2,20.0,0.58
100306,Male,0,Black,1,5.0,,4,1,0,0,5.0,0.12
100328,Male,0,Others,1,5.0,,4,2,0,0,78.0,3.05
100337,Male,0,Others,1,,,5,2,1,0,55.0,1.74
100352,Male,0,Mexican-American,1,,,4,1,0,0,693.0,3.98
100383,Male,0,White,1,2.0,,4,1,1,0,97.0,2.99
100392,Female,0,Black,1,5.0,,4,2,0,0,5.0,0.06
100444,Male,0,Other Hispanic,1,5.0,,7,3,1,0,69.0,
100449,Female,0,White,1,5.0,,6,1,3,0,15.0,0.35
100491,Male,0,Mexican-American,1,4.0,,6,1,3,0,62.0,
100525,Male,0,Mexican-American,1,,,7,1,3,0,15.0,0.37
100527,Female,0,White,1,5.0,,6,1,0,2,75.0,2.0
100536,Female,0,Others,1,3.0,,2,1,0,0,15.0,0.82
100538,Female,0,Others,1,,,3,1,0,0,425.0,5.0
100541,Female,0,Others,1,3.0,,5,2,1,0,20.0,0.52
100569,Male,0,White,1,3.0,,3,1,0,0,656.0,5.0
100588,Male,0,White,1,,,5,3,0,0,245.0,4.17
100652,Male,0,Black,1,5.0,,4,2,1,0,5.0,0.0
100690,Male,0,White,1,5.0,,3,1,0,0,736.0,5.0
100703,Female,0,Mexican-American,1,5.0,,6,2,1,0,25.0,0.62
100744,Female,0,Mexican-American,1,3.0,,5,1,0,0,65.0,2.19
100746,Male,0,Asian,1,4.0,,3,1,0,0,20.0,0.87
100757,Female,0,Black,1,4.0,,3,1,0,0,45.0,1.83
100822,Female,0,White,1,,,4,3,0,0,15.0,0.57
100833,Male,0,Mexican-American,1,2.0,,6,2,3,0,5.0,0.0
100852,Female,0,Black,1,3.0,,5,1,0,0,20.0,0.54
100863,Female,0,Mexican-American,1,5.0,,3,1,0,0,25.0,1.1
